timestamp,vendor_id,code,acct_id
[07/Oct/2025:21:27:01],3629,E,5004045822954561
[18/Oct/2025:21:37:39],9461,K,8108673734836066
[23/Oct/2025:15:44:35],8364,M,5629954232937620
[28/Oct/2025:04:45:30],2821,H,1966942034579345
[03/Nov/2025:10:51:00],7279,C,2007744969738488
[10/Oct/2025:22:05:58],9659,C,8483727119501448
[30/Oct/2025:14:20:33],3722,J,9089767603247418
[14/Oct/2025:00:26:50],1279,F,9353042586129867
[12/Oct/2025:06:39:16],9171,E,8473678029198616
[10/Oct/2025:22:02:18],2446,K,6269004135730374
[14/Oct/2025:13:01:37],1177,D,6599796508202173
[01/Nov/2025:01:02:01],3043,K,9264966525585289
[15/Oct/2025:15:34:58],7954,C,8162803295807541
[23/Oct/2025:06:33:01],6788,G,4116564219093349
[24/Oct/2025:07:33:36],3502,D,1514785443638167
[27/Oct/2025:23:30:14],6679,N,2849487181893837
[05/Nov/2025:03:56:17],1254,B,4569094135680683
[04/Nov/2025:15:02:22],1212,M,1701695303350920
[03/Nov/2025:15:13:26],8699,E,8119079675179222
[04/Nov/2025:04:18:04],7429,H,5221650048312658
[06/Nov/2025:04:44:07],7786,J,7142828998919387
[03/Nov/2025:06:09:41],1024,A,2913186796718252
[12/Oct/2025:09:17:16],4653,L,6711639925172396
[06/Nov/2025:13:57:31],3957,F,6561305965030981
[23/Oct/2025:15:36:44],5002,I,5937287679869870
[24/Oct/2025:16:24:48],9878,A,8370113289833169
[05/Nov/2025:06:34:01],5204,B,4774577927559876
[20/Oct/2025:09:52:48],4427,B,7890914437864280
[25/Oct/2025:23:50:42],8329,B,1613077319168621
[31/Oct/2025:12:09:28],7358,C,3992831292814910
[16/Oct/2025:00:58:05],7862,E,3782790566197646
[15/Oct/2025:11:19:35],1110,E,1987558214109295
[14/Oct/2025:02:08:52],2798,K,8904800185927942
[29/Oct/2025:16:01:13],9038,E,7110941789544322
[30/Oct/2025:19:39:53],9893,M,3662313794842080
[08/Oct/2025:06:22:54],6551,A,6382944946778981
[19/Oct/2025:20:08:58],1681,G,6268861213034068
[18/Oct/2025:22:20:26],6265,L,6322405695900846
[23/Oct/2025:17:29:03],8926,C,4233036170707663
[04/Nov/2025:11:34:48],4906,K,8030848176476147
[02/Nov/2025:21:45:49],6432,D,4637604330645894
[11/Oct/2025:03:00:43],8181,E,3952061088645591
[28/Oct/2025:12:00:52],8665,L,8454344570553049
[03/Nov/2025:16:33:36],4747,F,8184214221984374
[14/Oct/2025:13:22:23],4146,M,7554428954528086
[28/Oct/2025:16:09:21],1092,B,7718879083382389
[05/Nov/2025:03:38:49],5793,I,3523365408560747
